用例
学生登录
查看个人信息
查看发帖、回帖记录
查看修改个人介绍
查看修改邮箱地址
查看修改头像
查看个人身份证
查看关注课程
修改密码
保存信息
在线注销
查看非个人用户信息
查看非个人用户学生关注课程
查看非个人用户教师在授课程
查看非个人用户生日
查看非个人用户邮件地址
查看非个人用户用户头像
查看非个人用户发帖、回帖记录
查看非个人用户关注用户和粉丝
查看非个人用户个人介绍
进入课程版块
关注课程
查看课程通知
查看课程介绍
下载课程资料
查看教师介绍
查看课程链接
查看发送私信用户
查看关注用户
关注或取消关注非个人用户
查看粉丝
被禁言
内容搜索
全网站搜索
课程内搜索
论坛内搜索
进入论坛版块
开设帖子
查看帖子
删除帖子
回复帖子
学生举报
查看网站公告
查看网站介绍
查看网站相关链接和版权声明
教师登录
查看个人信息
查看发帖、回帖记录
查看修改个人介绍
查看修改邮箱地址
查看修改头像
查看个人身份证
查看我的课程
修改密码
保存信息
在线注销
查看非个人用户信息
查看非个人用户学生关注课程
查看非个人用户教师我的课程
查看非个人用户生日
查看非个人用户邮件地址
查看非个人用户用户头像
查看非个人用户发帖、回帖记录
查看非个人用户关注用户和粉丝
查看非个人用户个人介绍
进入课程版块
增删改课程通知
课程内修改教师介绍
增删改课程资源
上传课程资料
下载课程资料
增删改课程相关链接
修改课程介绍
开课、删课
开课删课向管理员提出申请
开课删课申请发送
查看发送私信用户
查看关注用户
关注或取消关注非个人用户
查看粉丝
被禁言
设定课程答疑时间
进行课程答疑
关闭课程答疑
课程答疑禁言
延长答疑时间
内容搜索
全网站搜索
课程内搜索
论坛内搜索
进入论坛版块
开设帖子
查看帖子
删除帖子
回复帖子
教师举报
查看网站公告
设置在我的课程版块帖子置顶和精品
查看网站介绍
查看网站相关链接和版权声明
管理我的课程版块帖子标题和内容
浏览信息
注册
用户管理
禁言用户
查看个人头像
查看邮箱地址
查看个人介绍
查看生日
查看身份证号码
查看真实姓名
修改个人头像
修改邮箱地址
修改个人介绍
修改密码
修改身份证号码
修改真实姓名
审核信息
审核教师开删课请求
审核教师上传资料视频
审核文章、帖子
审核注册个人信息
审核举报信息
课程管理
增加删除课程
修改课程介绍
增加删除修改课程通知
增加删除修改课程链接
开启课程答疑
管理往期课程答疑
维护网站
更新网站介绍
更新版权信息
更新首页通知
更新相关链接
查看日志
论坛版块管理
管理帖子标题和内容
设置帖子置顶和精品
备份和还原
